pair,fec_snr_db,energy_total_fJ,energy_fr_fJ,energy_cr_fJ,fl_fr,fl_cr,blind_d
FFT Search (DA) + V&V,17.705550425772,980.392610562632,26.6326105626322,953.76,2,4,NaN
FFT Search (DA) + Pilots-only,10.1094172608803,27.2088605626322,26.6326105626322,0.57625,2,2,NaN
Diff. Kay (DA) + V&V,17.7380971775343,954.086185344828,0.326185344827586,953.76,2,4,NaN
Diff. Kay (DA) + Pilots-only,10.7271762208068,0.902435344827586,0.326185344827586,0.57625,2,2,NaN
FFT Search (blind) + V&V,17.6514883688044,991.89692887931,38.1369288793103,953.76,2,4,32
FFT Search (blind) + Pilots-only,10.2960092642081,38.7131788793103,38.1369288793103,0.57625,2,2,32
